2024-04-10 14:02:56 install libudev1:amd64 <none> 253.5-1ubuntu6
2024-04-10 14:02:56 status half-installed libudev1:amd64 253.5-1ubuntu6
2024-04-10 14:02:56 status unpacked libudev1:amd64 253.5-1ubuntu6
2024-04-10 14:02:56 install libuuid1:amd64 <none> 2.39.1-4ubuntu2
2024-04-10 14:02:56 status half-installed libuuid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 status unpacked libuuid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 install libzstd1:amd64 <none> 1.5.5+dfsg2-1ubuntu2
2024-04-10 14:02:56 status half-installed libzstd1:amd64 1.5.5+dfsg2-1ubuntu2
2024-04-10 14:02:56 status unpacked libzstd1:amd64 1.5.5+dfsg2-1ubuntu2
2024-04-10 14:02:56 install login:amd64 <none> 1:4.13+dfsg1-1ubuntu1
2024-04-10 14:02:56 status half-installed login:amd64 1:4.13+dfsg1-1ubuntu1
2024-04-10 14:02:56 status unpacked login:amd64 1:4.13+dfsg1-1ubuntu1
2024-04-10 14:02:56 install logsave:amd64 <none> 1.47.0-2ubuntu1
2024-04-10 14:02:56 status half-installed logsave:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:56 status unpacked logsave:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:56 upgrade mawk:amd64 1.3.4.20230730-1 1.3.4.20230730-1
2024-04-10 14:02:56 status half-configured mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:56 status unpacked mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:56 status half-installed mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:56 status unpacked mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:56 install mount:amd64 <none> 2.39.1-4ubuntu2
2024-04-10 14:02:56 status half-installed mount:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 status unpacked mount:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 install ncurses-base:all <none> 6.4+20230625-2
2024-04-10 14:02:56 status half-installed ncurses-base:all 6.4+20230625-2
2024-04-10 14:02:56 status unpacked ncurses-base:all 6.4+20230625-2
2024-04-10 14:02:56 install ncurses-bin:amd64 <none> 6.4+20230625-2
2024-04-10 14:02:56 status half-installed ncurses-bin:amd64 6.4+20230625-2
2024-04-10 14:02:56 status unpacked ncurses-bin:amd64 6.4+20230625-2
2024-04-10 14:02:56 install passwd:amd64 <none> 1:4.13+dfsg1-1ubuntu1
2024-04-10 14:02:56 status half-installed passwd:amd64 1:4.13+dfsg1-1ubuntu1
2024-04-10 14:02:56 status unpacked passwd:amd64 1:4.13+dfsg1-1ubuntu1
2024-04-10 14:02:56 upgrade perl-base:amd64 5.36.0-9ubuntu1 5.36.0-9ubuntu1
2024-04-10 14:02:56 status half-configured perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:56 status unpacked perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:56 status half-installed perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:56 status unpacked perl-base:amd64 5.36.0-9ubuntu1
2024-04-10 14:02:56 install procps:amd64 <none> 2:4.0.3-1ubuntu1
2024-04-10 14:02:56 status half-installed procps:amd64 2:4.0.3-1ubuntu1
2024-04-10 14:02:56 status unpacked procps:amd64 2:4.0.3-1ubuntu1
2024-04-10 14:02:56 install sed:amd64 <none> 4.9-1
2024-04-10 14:02:56 status half-installed sed:amd64 4.9-1
2024-04-10 14:02:56 status unpacked sed:amd64 4.9-1
2024-04-10 14:02:56 install sensible-utils:all <none> 0.0.20
2024-04-10 14:02:56 status half-installed sensible-utils:all 0.0.20
2024-04-10 14:02:56 status unpacked sensible-utils:all 0.0.20
2024-04-10 14:02:56 install sysvinit-utils:amd64 <none> 3.07-1ubuntu1
2024-04-10 14:02:56 status half-installed sysvinit-utils:amd64 3.07-1ubuntu1
2024-04-10 14:02:56 status unpacked sysvinit-utils:amd64 3.07-1ubuntu1
2024-04-10 14:02:56 install tar:amd64 <none> 1.34+dfsg-1.2ubuntu1
2024-04-10 14:02:56 status half-installed tar:amd64 1.34+dfsg-1.2ubuntu1
2024-04-10 14:02:56 status unpacked tar:amd64 1.34+dfsg-1.2ubuntu1
2024-04-10 14:02:56 install usrmerge:all <none> 35ubuntu1
2024-04-10 14:02:56 status half-installed usrmerge:all 35ubuntu1
2024-04-10 14:02:56 status unpacked usrmerge:all 35ubuntu1
2024-04-10 14:02:56 install util-linux:amd64 <none> 2.39.1-4ubuntu2
2024-04-10 14:02:56 status half-installed util-linux:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 status unpacked util-linux:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:56 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1ubuntu5
2024-04-10 14:02:56 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1ubuntu5
2024-04-10 14:02:57 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1ubuntu5
2024-04-10 14:02:57 startup packages configure
2024-04-10 14:02:57 configure libaudit-common:all 1:3.1.1-1 <none>
2024-04-10 14:02:57 status unpacked libaudit-common:all 1:3.1.1-1
2024-04-10 14:02:57 status half-configured libaudit-common:all 1:3.1.1-1
2024-04-10 14:02:57 status installed libaudit-common:all 1:3.1.1-1
2024-04-10 14:02:57 configure libsemanage-common:all 3.5-1 <none>
2024-04-10 14:02:57 status unpacked libsemanage-common:all 3.5-1
2024-04-10 14:02:57 status half-configured libsemanage-common:all 3.5-1
2024-04-10 14:02:57 status installed libsemanage-common:all 3.5-1
2024-04-10 14:02:57 configure debconf:all 1.5.82 <none>
2024-04-10 14:02:57 status unpacked debconf:all 1.5.82
2024-04-10 14:02:57 status half-configured debconf:all 1.5.82
2024-04-10 14:02:57 status installed debconf:all 1.5.82
2024-04-10 14:02:57 configure ncurses-base:all 6.4+20230625-2 <none>
2024-04-10 14:02:57 status unpacked ncurses-base:all 6.4+20230625-2
2024-04-10 14:02:57 status half-configured ncurses-base:all 6.4+20230625-2
2024-04-10 14:02:57 status installed ncurses-base:all 6.4+20230625-2
2024-04-10 14:02:57 configure gcc-13-base:amd64 13.2.0-4ubuntu3 <none>
2024-04-10 14:02:57 status unpacked gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:57 status half-configured gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:57 status installed gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:57 configure init-system-helpers:all 1.65.2ubuntu1 <none>
2024-04-10 14:02:57 status unpacked init-system-helpers:all 1.65.2ubuntu1
2024-04-10 14:02:57 status half-configured init-system-helpers:all 1.65.2ubuntu1
2024-04-10 14:02:57 status installed init-system-helpers:all 1.65.2ubuntu1
2024-04-10 14:02:57 configure sensible-utils:all 0.0.20 <none>
2024-04-10 14:02:57 status unpacked sensible-utils:all 0.0.20
2024-04-10 14:02:57 status half-configured sensible-utils:all 0.0.20
2024-04-10 14:02:57 status installed sensible-utils:all 0.0.20
2024-04-10 14:02:57 configure libgcc-s1:amd64 13.2.0-4ubuntu3 <none>
2024-04-10 14:02:57 status unpacked libgcc-s1:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:57 status half-configured libgcc-s1:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:57 status installed libgcc-s1:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:57 configure libc6:amd64 2.38-1ubuntu6 <none>
2024-04-10 14:02:57 status unpacked libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:57 status half-configured libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:57 status installed libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:57 configure libmd0:amd64 1.1.0-1 <none>
2024-04-10 14:02:57 status unpacked libmd0:amd64 1.1.0-1
2024-04-10 14:02:57 status half-configured libmd0:amd64 1.1.0-1
2024-04-10 14:02:57 status installed libmd0:amd64 1.1.0-1
2024-04-10 14:02:57 configure libattr1:amd64 1:2.5.1-4 <none>
2024-04-10 14:02:57 status unpacked libattr1:amd64 1:2.5.1-4
2024-04-10 14:02:57 status half-configured libattr1:amd64 1:2.5.1-4
2024-04-10 14:02:57 status installed libattr1:amd64 1:2.5.1-4
2024-04-10 14:02:57 configure sysvinit-utils:amd64 3.07-1ubuntu1 <none>
2024-04-10 14:02:57 status unpacked sysvinit-utils:amd64 3.07-1ubuntu1
2024-04-10 14:02:57 status half-configured sysvinit-utils:amd64 3.07-1ubuntu1
2024-04-10 14:02:57 status installed sysvinit-utils:amd64 3.07-1ubuntu1
2024-04-10 14:02:57 configure debianutils:amd64 5.8-1 <none>
2024-04-10 14:02:57 status unpacked debianutils:amd64 5.8-1
2024-04-10 14:02:57 status half-configured debianutils:amd64 5.8-1
2024-04-10 14:02:57 status installed debianutils:amd64 5.8-1
2024-04-10 14:02:57 configure mawk:amd64 1.3.4.20230730-1 <none>
2024-04-10 14:02:57 status unpacked mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:57 status half-configured mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:57 status installed mawk:amd64 1.3.4.20230730-1
2024-04-10 14:02:57 configure libdebconfclient0:amd64 0.270ubuntu1 <none>
2024-04-10 14:02:57 status unpacked libdebconfclient0:amd64 0.270ubuntu1
2024-04-10 14:02:57 status half-configured libdebconfclient0:amd64 0.270ubuntu1
2024-04-10 14:02:57 status installed libdebconfclient0:amd64 0.270ubuntu1
2024-04-10 14:02:57 configure libbz2-1.0:amd64 1.0.8-5build1 <none>
2024-04-10 14:02:57 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2024-04-10 14:02:57 status half-configured libbz2-1.0:amd64 1.0.8-5build1
2024-04-10 14:02:57 status installed libbz2-1.0:amd64 1.0.8-5build1
2024-04-10 14:02:57 configure libdb5.3:amd64 5.3.28+dfsg2-2 <none>
2024-04-10 14:02:57 status unpacked libdb5.3:amd64 5.3.28+dfsg2-2
2024-04-10 14:02:57 status half-configured libdb5.3:amd64 5.3.28+dfsg2-2
2024-04-10 14:02:57 status installed libdb5.3:amd64 5.3.28+dfsg2-2
2024-04-10 14:02:57 configure libblkid1:amd64 2.39.1-4ubuntu2 <none>
2024-04-10 14:02:57 status unpacked libblkid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:57 status half-configured libblkid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:57 status installed libblkid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:57 configure libtinfo6:amd64 6.4+20230625-2 <none>
2024-04-10 14:02:57 status unpacked libtinfo6:amd64 6.4+20230625-2
2024-04-10 14:02:57 status half-configured libtinfo6:amd64 6.4+20230625-2
2024-04-10 14:02:57 status installed libtinfo6:amd64 6.4+20230625-2
2024-04-10 14:02:57 configure libzstd1:amd64 1.5.5+dfsg2-1ubuntu2 <none>
2024-04-10 14:02:57 status unpacked libzstd1:amd64 1.5.5+dfsg2-1ubuntu2
2024-04-10 14:02:57 status half-configured libzstd1:amd64 1.5.5+dfsg2-1ubuntu2
2024-04-10 14:02:57 status installed libzstd1:amd64 1.5.5+dfsg2-1ubuntu2
